latitude,longitude,name
50.838006,4.40897,MONTGOMERY
50.851746,4.353415,DEBROUCKERE
50.855933,4.358494,ROGIER
50.860053,4.359662,NOORDSTATION
50.844184,4.345254,ANNEESSENS
50.840084,4.341039,LEMONNIER
50.836497,4.337946,ZUIDSTATION
50.832547,4.342972,HALLEPOORT
50.829721,4.346537,ST-GILLISVOORPL.
50.825702,4.34549,HORTA
50.822303,4.343561,ALBERT
50.843453,4.405598,GEORGESHENRI
50.849394,4.402198,DIAMANT
50.832955,4.405187,BOILEAU
50.871012,4.32447,SPIEGEL
50.835978,4.274419,GOEDELUCHT
50.86406,4.344122,PICARD
50.838265,4.408091,ICHEC
50.815519,4.371065,LEGRAND
50.861527,4.355557,WTC
50.879155,4.321791,LEROUX
50.89387,4.397956,MEUDON-PAVILJ.
50.864112,4.312275,BENES
50.861273,4.315886,BASTENAKEN
50.866778,4.308838,GOFFIN
50.780214,4.325869,VANHAELEN
50.866817,4.281688,HUNDERENVELD
50.864477,4.30662,WINTEROY
50.848086,4.349455,BEURS
50.837425,4.349033,VOSSENPLEIN
50.841246,4.351814,KAPELLEKERK
50.841004,4.374318,TRIER
50.840338,4.378662,LEOPOLDSPARK
50.839287,4.386635,NERVIERS
50.838062,4.392801,GALLIERS
50.863306,4.353795,WILLEBROEK
50.84679,4.420892,WESTENWIND
50.843639,4.411958,DEGROOFF
50.845057,4.417284,MEUDON
50.923607,4.426533,HANSSENSPARK
50.842882,4.350791,CESARDEPAEPE
50.842046,4.383774,SCHUMAN
50.881187,4.321846,EUGENETOUSSAINT
50.86631,4.303465,VALIDA
50.869995,4.288174,MONNET-PARK
50.866675,4.314886,H.HARTCOLLEGE
50.860434,4.331639,VANHUFFEL
50.863355,4.330671,SIMONIS
50.85877,4.330078,AUTRIQUE
50.865255,4.284815,ZEVENSTERREN
50.92158,4.428648,BLOKKEN
50.8347,4.346152,SINT-PIETERS-ZKH.
50.856387,4.326529,OSSEGEM
50.841426,4.358345,KONING
50.837374,4.290288,FRUIT
50.839745,4.373679,LUXEMBURG
50.839247,4.296546,WILLEMYNS
50.839211,4.398523,MERODE
50.843475,4.300486,PAULSEN
50.851948,4.33237,OLIFANT
50.814081,4.324764,ZAMAN-VORSTNAT.
50.861968,4.321936,SIPPELBERG
50.846234,4.38347,AMBIORIX
50.860912,4.296286,COMHAIRE
50.857669,4.349494,IJZER
50.828383,4.373166,FLAGEY
50.839796,4.463803,STOKKEL
50.864418,4.29709,SCHWEITZER
50.841803,4.286873,MOORTEBEEK
50.864968,4.350239,THURNENTAXIS
50.838026,4.284196,WESTLANDSHOPPING
50.861772,4.291597,KERKPLEIN
50.863018,4.348724,HAVENLAAN
50.885087,4.318659,OUDEAFSPANNING
50.8512,4.487797,GERGEL
50.817228,4.32513,KASTANJES
50.841413,4.353383,GROTEZAVEL
50.847902,4.435729,ROODEBEEK
50.803621,4.358749,HOUZEAU
50.852518,4.490754,DEUTSCHESCHULE
50.845205,4.386602,MICHELANGELO
50.84724,4.393729,JAMBLINNEDEMEUX
50.79673,4.321064,KRUISPUNTSTALLE
50.843986,4.421287,MONTALD
50.841169,4.443304,FALLONSTADION
50.84085,4.384696,BREYDEL
50.841436,4.432386,SLEGERS
50.829963,4.390938,DEJACHT
50.884092,4.410163,TWEEDEKKER
